Habit,Date,Status,Comment
No Alcohol,2024-08-16,fail,
No Alcohol,2024-08-17,fail,
No Alcohol,2024-08-18,success,
No Alcohol,2024-08-19,skip,
No Alcohol,2024-08-20,fail,
No Alcohol,2024-08-21,fail,
No Alcohol,2024-08-22,success,
No Alcohol,2024-08-23,success,
No Alcohol,2024-08-24,fail,
No Alcohol,2024-08-25,success,
No Alcohol,2024-08-26,success,
No Alcohol,2024-08-27,skip,
No Alcohol,2024-08-28,fail,
No Alcohol,2024-08-29,fail,
No Alcohol,2024-08-30,success,
No Alcohol,2024-08-31,fail,
No Alcohol,2024-09-01,success,
No Alcohol,2024-09-02,skip,
No Alcohol,2024-09-03,skip,
No Alcohol,2024-09-04,success,
No Alcohol,2024-09-05,fail,
No Alcohol,2024-09-06,fail,
No Alcohol,2024-09-07,fail,
No Alcohol,2024-09-08,success,
No Alcohol,2024-09-14,fail,
No Alcohol,2024-09-17,fail,
No Alcohol,2024-09-18,fail,
No Alcohol,2024-09-19,skip,
No Alcohol,2024-09-20,fail,
No Alcohol,2024-09-21,success,
No Alcohol,2024-09-22,fail,
No Alcohol,2024-09-23,skip,
No Alcohol,2024-09-24,fail,
No Alcohol,2024-09-25,success,
No Alcohol,2024-09-26,success,
No Alcohol,2024-09-27,fail,
No Alcohol,2024-09-28,fail,
No Alcohol,2024-09-29,success,
No Alcohol,2024-09-30,skip,
No Alcohol,2024-10-01,fail,
No Alcohol,2024-10-02,success,
No Alcohol,2024-10-03,fail,
No Alcohol,2024-10-04,fail,
No Alcohol,2024-10-05,success,
No Alcohol,2024-10-06,skip,
No Alcohol,2024-10-07,success,
No Alcohol,2024-10-08,success,
No Alcohol,2024-10-09,fail,
No Alcohol,2024-10-10,fail,
No Alcohol,2024-10-11,fail,
No Alcohol,2024-10-12,success,
No Alcohol,2024-10-13,success,
No Alcohol,2024-10-22,success,
No Alcohol,2024-10-23,skip,
No Smoking,2024-04-04,fail,
No Alcohol,2024-10-24,success,
No Alcohol,2024-10-25,fail,
No Alcohol,2024-10-26,success,
No Alcohol,2024-10-27,success,
No Alcohol,2024-10-28,success,
No Alcohol,2024-10-31,fail,
No Alcohol,2024-11-01,success,
No Smoking,2024-04-01,fail,
No Alcohol,2024-11-02,success,
No Alcohol,2024-11-04,success,
No Alcohol,2025-02-03,success,
No Smoking,2024-04-02,fail,
No Smoking,2024-04-05,success,
No Alcohol,2025-02-04,fail,
No Smoking,2024-04-03,fail,
No Alcohol,2025-02-05,fail,
No Alcohol,2025-02-10,success,
No Alcohol,2025-02-13,skip,
No Alcohol,2025-02-14,skip,
No Smoking,2024-04-06,success,
No Alcohol,2024-10-29,success,
No Alcohol,2024-10-30,success,
No Smoking,2024-04-07,fail,
No Alcohol,2024-11-03,success,
No Alcohol,2025-02-06,skip,
No Alcohol,2025-02-07,fail,
No Alcohol,2025-02-08,skip,
No Alcohol,2025-02-09,skip,
No Alcohol,2025-02-11,success,
No Alcohol,2025-02-12,success,
No Alcohol,2025-02-15,fail,
No Smoking,2024-04-08,success,
No Smoking,2024-04-09,success,
No Smoking,2024-04-10,fail,
No Alcohol,2024-06-04,fail,
No Smoking,2024-04-11,fail,
No Smoking,2024-04-12,fail,
No Smoking,2024-04-13,skip,
No Smoking,2024-04-14,success,
No Smoking,2024-04-16,fail,
No Alcohol,2024-06-05,success,
No Smoking,2024-04-17,fail,
No Alcohol,2024-06-06,fail,
No Smoking,2024-04-18,fail,
No Alcohol,2024-06-07,fail,
No Smoking,2024-04-15,fail,
No Smoking,2024-04-19,fail,
No Alcohol,2024-06-15,success,
No Alcohol,2024-10-14,success,
No Smoking,2024-04-20,fail,
No Smoking,2024-04-22,fail,
No Alcohol,2024-06-08,fail,
No Alcohol,2024-06-09,fail,
No Smoking,2024-04-23,fail,
No Smoking,2024-04-24,fail,
No Smoking,2024-04-26,fail,
No Alcohol,2024-06-10,success,
No Smoking,2024-05-22,fail,
No Smoking,2024-05-23,fail,
No Alcohol,2024-06-11,success,
No Smoking,2024-04-21,fail,
No Smoking,2024-04-25,fail,
No Smoking,2024-04-27,success,
No Smoking,2024-04-28,fail,
No Alcohol,2024-06-13,success,
No Alcohol,2024-06-14,success,
No Smoking,2024-04-30,fail,
No Smoking,2024-05-14,fail,
No Smoking,2024-05-19,fail,
No Smoking,2024-05-20,fail,
No Alcohol,2024-10-15,skip,
No Alcohol,2024-10-17,success,
No Smoking,2024-04-29,fail,
No Smoking,2024-05-02,fail,
No Alcohol,2024-10-18,success,
No Alcohol,2024-10-19,success,
No Alcohol,2024-10-20,success,
No Smoking,2024-05-01,fail,
No Smoking,2024-05-03,fail,
No Smoking,2024-05-04,fail,
No Smoking,2024-05-05,fail,
No Smoking,2024-05-06,fail,
No Smoking,2024-05-07,fail,
No Smoking,2024-05-08,fail,
No Alcohol,2024-10-21,success,
No Smoking,2024-05-09,fail,
No Smoking,2024-05-10,fail,
No Smoking,2024-05-11,fail,
No Smoking,2024-05-12,fail,
No Smoking,2024-05-13,fail,
No Smoking,2024-05-15,fail,
No Smoking,2024-05-16,fail,
No Smoking,2024-05-17,fail,
No Smoking,2024-05-18,fail,
No Smoking,2024-05-21,fail,
No Alcohol,2024-10-16,fail,
No Smoking,2024-05-24,fail,
No Smoking,2024-05-25,fail,
No Alcohol,2024-06-12,fail,
No Smoking,2024-05-26,skip,
No Smoking,2024-05-27,fail,
No Smoking,2024-05-28,fail,
No Smoking,2024-05-29,success,
No Smoking,2024-05-30,fail,
No Smoking,2024-05-31,fail,
No Smoking,2024-06-01,fail,
No Smoking,2024-06-02,fail,
No Smoking,2024-06-03,fail,
No Smoking,2024-06-04,fail,
No Smoking,2024-06-05,fail,
No Smoking,2024-06-06,fail,
No Smoking,2024-06-07,fail,
No Smoking,2024-06-08,fail,
No Smoking,2024-06-09,fail,
No Smoking,2024-06-10,fail,
No Smoking,2024-06-11,fail,
No Smoking,2024-06-12,fail,
No Smoking,2024-06-13,fail,
No Smoking,2024-06-14,fail,
No Smoking,2024-06-15,success,
No Smoking,2024-06-16,success,
No Smoking,2024-06-17,success,
No Smoking,2024-06-18,fail,
No Smoking,2024-06-19,fail,
No Smoking,2024-06-20,fail,
No Smoking,2024-06-21,fail,
No Smoking,2024-06-22,fail,
No Smoking,2024-06-23,fail,
No Smoking,2024-06-24,fail,
No Smoking,2024-06-25,fail,
No Smoking,2024-06-26,fail,
No Smoking,2024-06-27,fail,
No Alcohol,2024-09-11,success,
No Smoking,2024-06-28,fail,
No Smoking,2024-06-29,fail,
No Alcohol,2025-02-16,skip,
No Smoking,2024-06-30,fail,
No Smoking,2024-07-01,fail,
No Smoking,2024-07-02,fail,
No Smoking,2024-07-03,fail,
No Smoking,2024-07-04,fail,
No Smoking,2024-07-05,fail,
No Smoking,2024-07-06,success,
No Smoking,2024-07-07,fail,
No Smoking,2024-07-08,fail,
No Smoking,2024-07-09,fail,
No Smoking,2024-07-10,fail,
No Smoking,2024-07-11,fail,
No Smoking,2024-07-12,fail,
No Smoking,2024-07-13,fail,
No Smoking,2024-07-14,fail,
No Smoking,2024-07-15,fail,
No Smoking,2024-07-16,fail,
No Smoking,2024-07-17,fail,
No Smoking,2024-07-18,fail,
No Smoking,2024-07-19,fail,
No Smoking,2024-07-20,fail,
No Smoking,2024-07-21,success,
No Smoking,2024-07-22,fail,
No Smoking,2024-07-23,fail,
No Smoking,2024-07-24,fail,
No Smoking,2024-07-25,fail,
No Smoking,2024-07-26,fail,
No Smoking,2024-07-27,fail,
No Smoking,2024-07-28,fail,
No Smoking,2024-07-29,success,
No Smoking,2024-07-30,fail,
No Smoking,2024-07-31,fail,
No Smoking,2024-08-01,fail,
No Smoking,2024-08-02,fail,
No Smoking,2024-08-03,fail,
No Smoking,2024-08-04,fail,
No Smoking,2024-08-05,fail,
No Smoking,2024-08-06,fail,
No Smoking,2024-08-07,fail,
No Smoking,2024-08-08,success,
No Smoking,2024-08-09,fail,
No Smoking,2024-08-10,success,
No Smoking,2024-08-11,fail,
No Smoking,2024-08-12,fail,
No Smoking,2024-08-13,fail,
No Smoking,2024-08-14,fail,
No Smoking,2024-08-15,fail,
No Smoking,2024-08-16,fail,
No Smoking,2024-08-17,fail,
No Smoking,2024-08-18,fail,
No Smoking,2024-08-19,fail,
No Smoking,2024-08-20,fail,
No Smoking,2024-08-21,fail,
No Smoking,2024-08-22,fail,
No Smoking,2024-08-23,fail,
No Smoking,2024-08-24,fail,
No Smoking,2024-08-25,skip,
No Smoking,2024-08-26,skip,
No Smoking,2024-08-27,fail,
No Smoking,2024-08-28,fail,
No Smoking,2024-08-29,fail,
No Smoking,2024-08-30,fail,
No Smoking,2024-08-31,fail,
No Smoking,2024-09-01,fail,
No Smoking,2024-09-02,fail,
No Smoking,2024-09-03,fail,
No Smoking,2024-09-04,fail,
No Smoking,2024-09-05,fail,
No Smoking,2024-09-06,fail,
No Smoking,2024-09-07,fail,
No Smoking,2024-09-08,fail,
No Smoking,2024-09-09,fail,
No Smoking,2024-09-10,fail,
No Smoking,2024-09-11,success,
No Smoking,2024-09-12,fail,
No Smoking,2024-09-13,fail,
No Smoking,2024-09-14,fail,
No Smoking,2024-09-15,fail,
No Smoking,2024-09-17,fail,
No Smoking,2024-09-18,fail,
No Smoking,2024-09-19,fail,
No Smoking,2024-09-20,fail,
No Smoking,2024-09-21,fail,
No Smoking,2024-09-22,fail,
No Smoking,2024-09-23,fail,
No Smoking,2024-09-24,fail,
No Smoking,2024-09-25,fail,
No Smoking,2024-09-26,fail,
No Smoking,2024-09-27,fail,
No Smoking,2024-09-28,fail,
No Smoking,2024-09-29,fail,
No Smoking,2024-09-30,fail,
No Smoking,2024-10-01,fail,
No Smoking,2024-10-02,fail,
No Smoking,2024-10-03,fail,
No Smoking,2024-10-04,fail,
No Smoking,2024-10-05,fail,
No Smoking,2024-10-06,fail,
No Smoking,2024-10-07,fail,
No Smoking,2024-10-08,fail,
No Smoking,2024-10-09,fail,
No Smoking,2024-10-10,fail,
No Smoking,2024-10-11,fail,
No Smoking,2024-10-12,fail,
No Smoking,2024-10-13,fail,
No Smoking,2024-10-14,fail,
No Smoking,2024-10-15,fail,
No Smoking,2024-10-16,fail,
No Smoking,2024-10-17,success,
No Smoking,2024-10-18,success,
No Smoking,2024-10-19,skip,
No Smoking,2024-10-20,skip,
No Smoking,2024-10-21,fail,
No Alcohol,2024-11-09,fail,
No Smoking,2024-10-28,fail,
No Alcohol,2024-11-06,success,
No Alcohol,2024-11-08,fail,
No Smoking,2024-10-29,fail,
No Alcohol,2024-11-05,success,
No Alcohol,2024-11-07,success,
No Alcohol,2024-11-10,skip,
No Smoking,2024-10-30,fail,
No Alcohol,2024-11-11,skip,
No Alcohol,2024-11-12,success,
No Smoking,2024-10-22,fail,
No Smoking,2024-10-23,fail,
No Smoking,2024-10-24,fail,
No Alcohol,2024-11-13,success,
No Smoking,2024-10-25,fail,
No Alcohol,2024-11-14,success,
No Alcohol,2024-12-18,success,
No Smoking,2024-10-26,fail,
No Smoking,2024-10-27,fail,
No Smoking,2024-10-31,fail,
No Smoking,2024-11-01,fail,
No Smoking,2024-11-02,fail,
No Smoking,2024-11-03,fail,
No Smoking,2024-11-04,fail,
No Smoking,2024-11-05,fail,
No Smoking,2024-11-06,fail,
No Alcohol,2024-12-08,fail,
No Smoking,2024-11-07,fail,
No Smoking,2024-11-08,fail,
No Smoking,2024-11-09,fail,
No Smoking,2024-11-10,fail,
No Smoking,2024-11-11,fail,
No Smoking,2024-11-12,fail,
No Alcohol,2024-11-21,success,
No Smoking,2024-11-13,fail,
No Smoking,2024-11-14,fail,
No Alcohol,2024-11-15,fail,
No Alcohol,2024-11-16,fail,
No Smoking,2024-11-15,fail,
No Alcohol,2024-12-01,skip,
No Smoking,2024-11-16,fail,
No Alcohol,2024-11-17,success,
No Alcohol,2024-11-18,success,
No Smoking,2024-11-17,skip,
No Smoking,2024-11-18,fail,
No Alcohol,2024-11-19,success,
No Alcohol,2024-11-20,success,
No Smoking,2024-11-20,fail,
No Alcohol,2024-11-22,fail,
No Alcohol,2024-11-29,success,
No Alcohol,2024-12-02,success,
No Smoking,2024-11-21,fail,
No Alcohol,2024-12-03,success,
No Smoking,2024-11-22,fail,
No Alcohol,2024-11-23,success,
No Alcohol,2024-11-24,fail,
No Alcohol,2024-11-25,success,
No Smoking,2024-11-25,fail,
No Alcohol,2024-11-26,skip,
No Alcohol,2024-11-27,skip,
No Alcohol,2024-11-28,skip,
No Alcohol,2024-11-30,success,
No Alcohol,2024-12-04,success,
No Smoking,2024-11-26,fail,
No Smoking,2024-11-27,fail,
No Smoking,2024-11-28,fail,
No Smoking,2024-11-30,success,
No Smoking,2024-12-01,fail,
No Smoking,2024-12-02,skip,
No Smoking,2024-12-03,fail,
No Smoking,2024-12-04,fail,
No Alcohol,2024-12-05,skip,
No Smoking,2024-11-29,success,
No Smoking,2024-12-05,fail,
No Alcohol,2024-12-06,fail,
No Alcohol,2024-12-07,skip,
No Smoking,2024-11-19,fail,
No Smoking,2024-11-23,fail,
No Smoking,2024-11-24,fail,
No Alcohol,2024-12-16,success,
No Smoking,2024-12-06,fail,
No Smoking,2024-12-07,fail,
No Smoking,2024-12-08,fail,
No Alcohol,2024-12-09,success,
No Alcohol,2024-12-10,success,
No Alcohol,2024-12-11,success,
No Smoking,2024-12-11,fail,
No Alcohol,2024-12-12,fail,
No Alcohol,2024-12-13,fail,
No Alcohol,2024-12-14,fail,
No Alcohol,2024-12-15,fail,
No Alcohol,2024-12-17,fail,
No Alcohol,2024-12-19,success,
No Smoking,2024-12-09,fail,
No Alcohol,2024-12-20,fail,
No Alcohol,2024-12-21,skip,
No Smoking,2024-12-19,fail,
No Smoking,2024-12-20,fail,
No Alcohol,2024-12-22,skip,
No Alcohol,2024-12-23,success,
No Alcohol,2024-12-24,fail,
No Alcohol,2024-12-27,fail,
No Alcohol,2024-12-28,success,
No Smoking,2024-12-21,fail,
No Alcohol,2024-12-25,fail,
No Smoking,2024-12-22,fail,
No Smoking,2024-12-23,fail,
No Smoking,2024-12-24,fail,
No Smoking,2024-12-25,fail,
No Alcohol,2024-12-26,fail,
No Alcohol,2024-12-29,fail,
No Alcohol,2024-12-31,fail,
No Smoking,2024-12-26,skip,
No Smoking,2024-12-27,fail,
No Alcohol,2024-12-30,skip,
No Smoking,2024-12-29,skip,
No Smoking,2024-12-30,fail,
No Alcohol,2025-01-01,success,
No Smoking,2024-12-28,skip,
No Alcohol,2025-01-04,fail,
No Smoking,2024-12-31,fail,
No Smoking,2025-01-01,skip,
No Alcohol,2025-01-02,success,
No Alcohol,2025-01-03,success,
No Smoking,2025-01-03,fail,
No Alcohol,2025-01-05,skip,
No Alcohol,2025-01-06,skip,
No Alcohol,2025-01-07,success,
No Alcohol,2025-01-09,success,
No Alcohol,2025-01-13,success,
No Smoking,2025-01-02,skip,
No Smoking,2025-01-05,fail,
No Alcohol,2025-01-08,success,
No Smoking,2025-01-06,fail,
No Alcohol,2025-01-10,success,
No Smoking,2025-01-07,fail,
No Alcohol,2025-01-11,success,
No Alcohol,2025-01-12,success,
No Smoking,2025-01-08,skip,
No Smoking,2025-01-09,skip,
No Alcohol,2025-01-14,success,
No Smoking,2025-01-10,success,
No Alcohol,2025-01-15,fail,
No Alcohol,2025-01-16,success,
No Alcohol,2025-01-17,success,
No Smoking,2025-01-04,skip,
No Alcohol,2025-01-18,success,
No Alcohol,2025-01-19,success,
No Alcohol,2025-01-20,skip,
No Alcohol,2025-01-21,success,
No Alcohol,2025-01-22,success,
No Smoking,2025-01-11,success,
No Smoking,2025-01-12,success,
No Smoking,2025-01-13,fail,
No Smoking,2025-01-14,fail,
No Smoking,2025-01-15,fail,
No Smoking,2025-01-16,skip,
No Smoking,2025-01-17,fail,
No Smoking,2025-01-18,fail,
No Smoking,2025-01-19,fail,
No Smoking,2025-01-20,fail,
No Smoking,2025-01-21,fail,
No Smoking,2025-01-22,fail,
No Alcohol,2025-01-23,skip,
No Alcohol,2025-01-24,fail,
No Smoking,2024-12-10,fail,
No Alcohol,2025-01-25,skip,
No Alcohol,2025-01-26,fail,
No Alcohol,2025-01-27,success,
No Smoking,2024-12-12,fail,
No Smoking,2024-12-13,fail,
No Smoking,2024-12-14,fail,
No Alcohol,2025-01-28,success,
No Smoking,2024-12-15,fail,
No Smoking,2024-12-16,fail,
No Alcohol,2025-01-29,success,
No Alcohol,2025-01-30,success,
No Alcohol,2025-02-19,fail,
No Alcohol,2025-02-20,fail,
No Smoking,2024-12-17,fail,
No Alcohol,2025-01-31,success,
No Smoking,2025-01-23,fail,
No Smoking,2025-01-27,fail,
No Smoking,2025-01-28,success,
No Alcohol,2025-02-01,fail,
No Smoking,2024-12-18,skip,
No Smoking,2025-01-24,fail,
No Smoking,2025-01-25,fail,
No Alcohol,2025-02-22,fail,
No Smoking,2025-01-26,fail,
No Smoking,2025-01-29,success,
No Alcohol,2025-02-02,success,
No Smoking,2025-01-30,skip,
No Smoking,2025-01-31,fail,
No Smoking,2025-02-01,fail,
No Smoking,2025-02-02,skip,
No Alcohol,2025-02-18,skip,
No Smoking,2025-02-03,skip,
No Alcohol,2025-02-21,fail,
No Smoking,2025-02-04,fail,
No Smoking,2025-02-05,fail,
No Smoking,2025-02-06,fail,
No Smoking,2025-02-07,fail,
No Smoking,2025-02-08,skip,
No Smoking,2025-02-09,fail,
No Smoking,2025-02-10,fail,
No Smoking,2025-02-11,fail,
No Alcohol,2025-02-17,fail,
No Smoking,2025-02-12,fail,
No Smoking,2025-02-13,fail,
No Smoking,2025-02-14,fail,
No Smoking,2025-02-15,fail,
No Smoking,2025-02-17,fail,
No Smoking,2025-02-18,fail,
No Smoking,2025-02-19,fail,
No Smoking,2025-02-20,fail,
No Smoking,2025-02-21,fail,
No Smoking,2025-02-22,fail,
Wake Up Early ( < 8:00 am ),2024-09-16,success,
No Alcohol,2025-02-23,fail,
No Smoking,2024-09-16,fail,
No Alcohol,2025-02-24,success,
No Alcohol,2025-02-25,success,
No Alcohol,2025-02-26,fail,
No Alcohol,2025-02-27,success,
No Alcohol,2025-02-28,fail,
No Alcohol,2025-03-01,fail,
No Alcohol,2025-03-02,skip,
No Alcohol,2025-03-03,success,
No Alcohol,2025-03-09,fail,
No Alcohol,2025-03-13,success,
No Alcohol,2025-03-14,skip,
No Smoking,2025-02-23,fail,
No Alcohol,2025-03-04,success,
No Smoking,2025-02-24,fail,
No Alcohol,2025-03-05,skip,
No Smoking,2025-02-25,fail,
No Smoking,2025-02-26,fail,
No Smoking,2025-02-27,fail,
No Smoking,2025-02-28,fail,
No Smoking,2025-03-01,fail,
No Smoking,2025-03-02,fail,
No Smoking,2025-03-03,fail,
No Smoking,2025-03-04,fail,
No Smoking,2025-03-05,fail,
No Alcohol,2025-03-06,success,
No Alcohol,2025-03-07,fail,
No Alcohol,2025-03-08,fail,
No Smoking,2025-03-06,fail,
No Smoking,2025-03-07,fail,
No Alcohol,2025-03-10,skip,
No Smoking,2025-03-08,fail,
No Smoking,2025-03-09,fail,
No Alcohol,2025-03-11,skip,
No Alcohol,2025-03-12,skip,
No Smoking,2025-03-10,fail,
No Smoking,2025-03-11,fail,
No Smoking,2025-03-12,fail,
No Smoking,2025-03-13,fail,
No Smoking,2025-03-14,fail,
No Alcohol,2025-03-15,skip,
No Smoking,2025-03-15,fail,
No Alcohol,2025-03-16,fail,
No Alcohol,2025-03-17,skip,
No Alcohol,2025-03-18,skip,
No Alcohol,2025-03-19,skip,
No Smoking,2025-03-16,fail,
No Alcohol,2025-03-20,skip,
No Alcohol,2025-03-21,skip,
No Alcohol,2025-03-22,skip,
No Alcohol,2025-03-23,skip,
No Alcohol,2025-03-24,skip,
No Alcohol,2025-03-25,skip,
No Alcohol,2025-03-26,skip,
No Alcohol,2025-03-27,success,
No Smoking,2025-03-17,fail,
No Alcohol,2025-03-28,success,
No Alcohol,2025-03-29,fail,
No Alcohol,2025-03-31,success,
No Alcohol,2025-04-01,success,
No Alcohol,2025-04-03,fail,
No Alcohol,2025-04-04,fail,
No Alcohol,2025-04-07,skip,
No Smoking,2025-03-18,fail,
No Alcohol,2025-04-09,skip,
No Smoking,2025-03-19,fail,
No Smoking,2025-03-20,fail,
No Smoking,2025-03-21,fail,
No Smoking,2025-03-22,fail,
No Alcohol,2025-03-30,success,
No Smoking,2025-03-23,fail,
No Smoking,2025-03-24,fail,
No Smoking,2025-03-25,fail,
No Smoking,2025-03-26,fail,
No Smoking,2025-03-27,fail,
No Smoking,2025-03-28,fail,
No Smoking,2025-03-29,fail,
No Smoking,2025-03-30,success,
No Alcohol,2025-04-02,fail,
No Smoking,2025-03-31,skip,
No Smoking,2025-04-02,fail,
No Alcohol,2025-04-05,skip,
No Alcohol,2025-04-06,skip,
No Smoking,2025-04-01,fail,
No Smoking,2025-04-03,fail,
No Smoking,2025-04-04,fail,
No Smoking,2025-04-05,fail,
No Smoking,2025-04-06,fail,
No Alcohol,2025-04-08,skip,
No Smoking,2025-04-07,fail,
No Alcohol,2025-04-10,fail,
No Alcohol,2025-04-11,skip,
No Smoking,2025-04-11,fail,
No Alcohol,2025-04-12,success,
No Smoking,2025-04-12,fail,
No Alcohol,2025-04-13,skip,
No Smoking,2025-04-13,fail,
No Alcohol,2025-04-14,fail,
No Smoking,2025-04-14,fail,
No Alcohol,2025-04-15,success,
No Smoking,2025-04-08,fail,
No Alcohol,2025-04-16,fail,
No Alcohol,2025-04-27,fail,
No Smoking,2025-04-09,fail,
